PID,experiment,calc,sent
1097,1,0,0.0
1098,1,0,40.0
1104,1,0,0.0
1106,1,0,0.0
1110,1,0,100.0
1114,1,0,0.0
1116,1,0,0.0
1118,1,0,10.0
1121,1,0,100.0
1122,1,0,20.0
1124,1,0,20.0
1129,1,0,50.0
1139,1,0,0.0
1143,1,0,50.0
1144,1,0,0.0
1146,1,0,0.0
1151,1,0,60.0
1161,1,0,0.0
1163,1,0,0.0
1175,1,0,100.0
1180,1,0,0.0
1182,1,0,0.0
1185,1,0,50.0
1191,1,0,0.0
1194,1,0,0.0
1205,1,0,0.0
1211,1,0,0.0
1219,1,0,0.0
1226,1,0,40.0
1229,1,0,40.0
1230,1,0,0.0
1235,1,0,20.0
1237,1,0,0.0
1238,1,0,40.0
1241,1,0,40.0
1242,1,0,100.0
1245,1,0,30.0
1251,1,0,20.0
1253,1,0,50.0
1258,1,0,0.0
1262,1,0,0.0
1267,1,0,0.0
1272,1,0,10.0
1273,1,0,0.0
1281,1,0,20.0
1285,1,0,100.0
1288,1,0,0.0
1291,1,0,0.0
1292,1,0,40.0
1293,1,0,0.0
1294,1,0,100.0
1297,1,0,0.0
1298,1,0,0.0
1303,1,0,0.0
1306,1,0,20.0
1315,1,0,50.0
1316,1,0,50.0
1327,1,0,0.0
1329,1,0,0.0
1332,1,0,40.0
1336,1,0,0.0
1339,1,0,50.0
1340,1,0,0.0
1341,1,0,0.0
1349,1,0,80.0
1353,1,0,0.0
1357,1,0,100.0
1358,1,0,50.0
1360,1,0,0.0
1369,1,0,0.0
1373,1,0,0.0
1379,1,0,100.0
1380,1,0,0.0
1384,1,0,40.0
1389,1,0,0.0
1390,1,0,40.0
1392,1,0,0.0
1401,1,0,100.0
1405,1,0,0.0
1412,1,0,0.0
1421,1,0,20.0
1424,1,0,0.0
1427,1,0,0.0
1434,1,0,20.0
1435,1,0,40.0
1436,1,0,50.0
1438,1,0,50.0
1440,1,0,100.0
1449,1,0,0.0
1453,1,0,0.0
1454,1,0,0.0
1462,1,0,0.0
1476,1,0,10.0
1481,1,0,100.0
1483,1,0,10.0
1484,1,0,10.0
1486,1,0,0.0
1489,1,0,0.0
1496,1,0,0.0
1499,1,0,100.0
1503,1,0,40.0
1505,1,0,0.0
1507,1,0,50.0
1509,1,0,0.0
1512,1,0,0.0
1515,1,0,60.0
1517,1,0,100.0
1529,1,0,0.0
1531,1,0,0.0
1532,1,0,0.0
1544,1,0,20.0
1548,1,0,0.0
1550,1,0,60.0
1554,1,0,0.0
1556,1,0,30.0
1559,1,0,20.0
1561,1,0,50.0
1573,1,0,0.0
1579,1,0,20.0
1583,1,0,30.0
1585,1,0,10.0
1588,1,0,20.0
1590,1,0,50.0
1593,1,0,50.0
1597,1,0,0.0
1598,1,0,10.0
1600,1,0,50.0
1601,1,0,0.0
1603,1,0,0.0
1610,1,0,0.0
1614,1,0,100.0
1623,1,0,30.0
1627,1,0,100.0
1631,1,0,70.0
1636,1,0,0.0
1637,1,0,0.0
1644,1,0,0.0
1649,1,0,50.0
1650,1,0,0.0
1653,1,0,0.0
1659,1,0,50.0
1660,1,0,0.0
1662,1,0,0.0
1666,1,0,0.0
1670,1,0,100.0
1675,1,0,0.0
1678,1,0,30.0
1685,1,0,50.0
1687,1,0,50.0
1693,1,0,30.0
1698,1,0,0.0
1705,1,0,0.0
1712,1,0,0.0
1714,1,0,100.0
1715,1,0,100.0
1718,1,0,0.0
1721,1,0,10.0
1724,1,0,10.0
1726,1,0,0.0
1736,1,0,100.0
1737,1,0,40.0
1738,1,0,50.0
1745,1,0,40.0
1748,1,0,0.0
1753,1,0,50.0
1757,1,0,100.0
1762,1,0,0.0
1763,1,0,0.0
1772,1,0,100.0
1775,1,0,0.0
1777,1,0,100.0
1785,1,0,30.0
1789,1,0,0.0
1795,1,0,20.0
1799,1,0,20.0
1804,1,0,100.0
1810,1,0,10.0
1814,1,0,0.0
1824,1,0,100.0
1825,1,0,0.0
1833,1,0,50.0
1836,1,0,40.0
1837,1,0,0.0
1839,1,0,0.0
1840,1,0,0.0
1843,1,0,0.0
1844,1,0,0.0
1853,1,0,100.0
1858,1,0,0.0
1859,1,0,80.0
1865,1,0,10.0
1867,1,0,0.0
1873,1,0,30.0
1882,1,0,20.0
1888,1,0,0.0
1889,1,0,0.0
1891,1,0,0.0
1895,1,0,0.0
1896,1,0,0.0
1900,1,0,60.0
1902,1,0,0.0
1908,1,0,50.0
1911,1,0,0.0
1912,1,0,100.0
1915,1,0,20.0
1917,1,0,0.0
1927,1,0,40.0
1932,1,0,0.0
1934,1,0,40.0
1935,1,0,100.0
1945,1,0,0.0
1948,1,0,50.0
1954,1,0,50.0
1958,1,0,30.0
1960,1,0,0.0
1963,1,0,0.0
1973,1,0,0.0
1974,1,0,0.0
1975,1,0,20.0
1977,1,0,40.0
1979,1,0,20.0
1982,1,0,0.0
1983,1,0,0.0
1984,1,0,20.0
1988,1,0,0.0
1999,1,0,40.0
2002,1,0,10.0
2010,1,0,0.0
2014,1,0,50.0
2015,1,0,50.0
2021,1,0,10.0
2029,1,0,0.0
2030,1,0,0.0
2032,1,0,0.0
2035,1,0,20.0
2036,1,0,100.0
2038,1,0,50.0
2041,1,0,0.0
2042,1,0,50.0
2054,1,0,0.0
2060,1,0,40.0
