PID,experiment,calc,return
2292,1,1,40.0
2295,1,1,10.0
2299,1,0,50.0
2300,1,0,50.0
2301,1,1,10.0
2306,1,1,50.0
2307,1,1,51.0
2308,1,1,50.0
2309,1,1,24.0
2314,1,1,25.0
2321,1,1,0.0
2322,1,1,20.0
2323,1,1,50.0
2324,1,1,100.0
2330,1,1,50.0
2331,1,1,0.0
2333,1,1,50.0
2335,1,0,80.0
2336,1,1,50.0
2339,1,0,50.0
2341,1,0,80.0
2342,1,1,50.0
2346,1,1,50.0
2348,1,1,50.0
2349,1,1,30.0
2352,1,1,20.0
2356,1,1,50.0
2357,1,0,50.0
2362,1,1,50.0
2363,1,1,50.0
2364,1,0,50.0
2366,1,1,50.0
2369,1,1,40.0
2372,1,1,100.0
2374,1,1,40.0
2379,1,0,50.0
2380,1,0,100.0
2381,1,1,45.0
2382,1,0,50.0
2383,1,0,100.0
2385,1,1,50.0
2387,1,1,50.0
2391,1,0,25.0
2393,1,1,50.0
2394,1,1,20.0
2398,1,0,10.0
2399,1,0,50.0
2402,1,0,49.0
2404,1,0,50.0
2406,1,1,0.0
2411,1,0,50.0
2414,1,1,0.0
2417,1,0,50.0
2421,1,1,50.0
2423,1,1,50.0
2425,1,1,50.0
2426,1,1,82.0
2427,1,0,70.0
2428,1,1,62.0
2432,1,1,10.0
2433,1,1,50.0
2435,1,1,100.0
2442,1,0,50.0
2443,1,1,50.0
2447,1,0,50.0
2448,1,1,21.0
2452,1,1,50.0
2453,1,1,40.0
2454,1,1,10.0
2457,1,1,50.0
2459,1,1,15.0
2465,1,1,50.0
2469,1,1,100.0
2471,1,1,100.0
2472,1,1,50.0
2476,1,1,50.0
2477,1,1,100.0
2483,1,1,50.0
2484,1,1,50.0
2486,1,1,9.0
2488,1,1,50.0
2490,1,0,100.0
2492,1,1,70.0
2495,1,0,50.0
2498,1,1,20.0
2500,1,1,51.0
2501,1,1,0.0
2502,1,0,50.0
2503,1,1,50.0
2505,1,1,40.0
2506,1,1,50.0
2510,1,0,100.0
2513,1,0,50.0
2514,1,1,50.0
2515,1,1,30.0
2517,1,1,50.0
2518,1,0,50.0
2521,1,1,50.0
2522,1,1,20.0
2525,1,1,0.0
2527,1,1,33.0
2535,1,0,50.0
2536,1,1,50.0
2537,1,1,30.0
2538,1,1,50.0
2547,1,0,50.0
2550,1,1,0.0
2552,1,0,50.0
2554,1,0,50.0
2555,1,1,25.0
2556,1,1,50.0
2557,1,0,50.0
2558,1,1,50.0
2560,1,1,40.0
2563,1,1,38.0
2569,1,0,50.0
2570,1,1,50.0
2571,1,1,30.0
2572,1,1,50.0
2576,1,1,50.0
2579,1,0,25.0
2582,1,1,50.0
2583,1,0,50.0
2584,1,1,50.0
2587,1,0,0.0
2588,1,1,50.0
2589,1,1,50.0
2591,1,1,51.0
2596,1,1,50.0
2597,1,0,50.0
2600,1,1,50.0
2602,1,1,50.0
2603,1,1,80.0
2605,1,1,50.0
2607,1,1,36.0
2610,1,1,50.0
2611,1,0,50.0
2612,1,1,50.0
